term_id,prefLabel@es,altLabel@es,definition@es,prefLabel@en,altLabel@en,definition@en,prefLabel@de,altLabel@de,definition@de,prefLabel@nl,altLabel@nl,definition@nl,iate_id
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,futures exchange,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,futures market,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,communal area,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,village area,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward transaction,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward deal,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,mercado a plazo,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,mercado a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
